,feat_set,model_name,cv_mean_test_r2,cv_mean_test_mse,cv_mean_test_mae,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae
0,fp_,random_forest,0.9257964213315277,0.0427618746199159,0.10842417501017479,0.9923787591816379,0.003571177702290187,0.03532674418604506,0.9583003829195891,0.018297780007519724,0.10117336167800343
1,fp_,neural_network,0.9621971090776302,0.016495231099303485,0.08330613236601658,0.9961224256604316,0.001816962270379351,0.030252972057159322,0.9571618490986942,0.01879736832138082,0.10272875488958634
2,fp_,bagging,0.9401559890366578,0.033911452100883234,0.10089841452991473,0.9933312946320813,0.003124836556230543,0.03303275747508281,0.9568924886932035,0.018915563590006425,0.099896207482993
3,fp_,kernel_ridge,0.940922603207199,0.026524871890553924,0.10209545473365338,0.9992144560348853,0.0003680919103917017,0.011471879081170108,0.9493533057970007,0.02222375488119167,0.11901194801548336
4,fp_,gradient_boosting_reg,0.9444646007747852,0.029330971568585974,0.10453918852744977,0.9981043862873666,0.0008882508221498151,0.02409546687758104,0.9450474353303282,0.024113169606226646,0.11870339053516396
5,fp_,gaussian_process,0.9321210530237097,0.030559014863513156,0.11048880582245671,0.9949736865422628,0.0023552409604673526,0.029733090989657773,0.9427098624348034,0.025138895921923376,0.12984702416200394
6,fp_,bayesian_ridge,0.9229506435077445,0.033415858968594545,0.11793329010165272,0.9882103708877445,0.00552441021185393,0.046898893546186045,0.9363061837230429,0.027948828302853477,0.13600547238653113
7,fp_,SVR,0.9258441495985197,0.034039892272622954,0.11822798428355208,0.9723923394386027,0.012936458007168245,0.07698508721221738,0.9321674250353226,0.029764914427243588,0.14108396682166263
8,fp_,lasso,0.9160203797072926,0.039101272424402866,0.12747626402962783,0.9603201688121316,0.018593262140115363,0.08767236614482923,0.9317066004203408,0.029967124136045662,0.1323330310267235
9,fp_,ridge,0.9171588237229356,0.03350101098648194,0.12122232980113408,0.9978807990475645,0.000993019820312702,0.018228934909828277,0.9272837160406967,0.031907884532510776,0.1423600906640353
