model_name,feat_set,test_r2,test_mse,test_mae
linear_reg,2d+3d+fp,0.9836326970942367,0.0071819678178,0.05460935461637632
ridge,2d,0.9915830269725864,0.0036933653488437045,0.04537433205268403
lasso,2d+3d+fp,0.986832516402264,0.005777888023753129,0.05189576553871479
elastic_net,3d,0.9367709133389563,0.027744905080763303,0.1347841671498092
lasso_lars,2d+3d+fp,0.9409332519480921,0.02591847209362324,0.13017202438970982
omp,2d,0.9875759259011149,0.005451680149008318,0.05665596823042635
bayesian_ridge,2d,0.9915164006019487,0.0037226009811584587,0.045245300814751054
ARDR,2d,0.9874272838796475,0.005516904225369439,0.05395508174501811
PA,2d+3d+fp,0.9547373294197,0.01986124686071104,0.0972494653050374
huber,2d,0.9805843720898609,0.008519571954881925,0.059641652194857876
kernel_ridge,2d,0.9895900493285136,0.004567883367098647,0.05013066225471622
SVR,2d,0.9814629443538271,0.00813405469759485,0.07355330728223228
gaussian_process,2d,0.9920619839357082,0.0034831991708816046,0.04281406481415965
decision_tree,2d,0.9585598439737227,0.018183928571428563,0.07589285714285712
bagging,2d+3d+fp,0.9827282931704566,0.007578820000000009,0.06550000000000002
random_forest,2d+3d+fp,0.983304515675496,0.007325973730158715,0.06294880952380952
ada_boost,2d+3d+fp,0.9780532564969037,0.00963022475066724,0.07299087033058903
gradient_boosting_reg,2d+3d+fp,0.9848870289521323,0.006631567358535877,0.05455991096324852
neural_network,2d,0.9909242248901972,0.003982447513526643,0.0447405394637737
knn_reg,2d+3d+fp,0.9594074857550734,0.01781198360103641,0.09161114660163136
