train_size,model_name,data_set,r2,mse,mae
60,neural_net,test,0.9354454471706574,0.4536339879601084,0.46203432653790355
60,random_forest,test,0.9248151042208959,0.5283349138333331,0.5448683333333335
60,SVR,test,0.7937242819338588,1.4495286932441667,0.7610342925611098
60,linear_reg,test,0.7446696829692045,1.7942423095703126,1.1123697916666666
54,neural_net,test,0.6728609844110449,1.8098057317971195,1.0916379847639013
58,linear_reg,test,0.6694783057851241,2.499570312499998,1.1874999999999996
55,random_forest,test,0.5834290549336124,2.5600783999999916,1.4679999999999978
54,random_forest,test,0.5290246435027129,2.605540333333325,1.4909999999999977
58,SVR,test,0.6477006035565349,2.664264185603704,1.3265951546055565
54,SVR,test,0.5122483536042532,2.698350497116026,1.2591078116610155
